ba_name,freq,load_MW,market,timestamp
CAISO,1hr,20132.0,RT5M,2017-10-01 15:00:00+00:00
CAISO,1hr,20513.0,RT5M,2017-10-01 16:00:00+00:00
CAISO,1hr,21270.0,RT5M,2017-10-01 20:00:00+00:00
CAISO,1hr,22032.0,RT5M,2017-10-01 21:00:00+00:00
CAISO,1hr,25269.0,RT5M,2017-10-02 00:00:00+00:00
CAISO,1hr,19659.0,RT5M,2017-10-01 09:00:00+00:00
CAISO,1hr,19088.0,RT5M,2017-10-01 10:00:00+00:00
CAISO,1hr,18961.0,RT5M,2017-10-01 12:00:00+00:00
CAISO,1hr,19646.0,RT5M,2017-10-01 14:00:00+00:00
CAISO,1hr,20509.0,RT5M,2017-10-01 18:00:00+00:00
CAISO,1hr,20789.0,RT5M,2017-10-01 19:00:00+00:00
CAISO,1hr,20374.0,RT5M,2017-10-01 08:05:00+00:00
CAISO,1hr,19629.0,RT5M,2017-10-01 14:05:00+00:00
CAISO,1hr,21305.0,RT5M,2017-10-01 20:05:00+00:00
CAISO,1hr,25996.0,RT5M,2017-10-02 01:05:00+00:00
CAISO,1hr,27455.0,RT5M,2017-10-02 03:05:00+00:00
CAISO,1hr,20925.0,RT5M,2017-10-01 17:05:00+00:00
CAISO,1hr,20575.0,RT5M,2017-10-01 16:05:00+00:00
CAISO,1hr,22101.0,RT5M,2017-10-01 21:05:00+00:00
CAISO,1hr,27566.0,RT5M,2017-10-02 02:05:00+00:00
CAISO,1hr,21620.0,RT5M,2017-10-01 07:05:00+00:00
CAISO,1hr,23171.0,RT5M,2017-10-01 22:05:00+00:00
CAISO,1hr,25386.0,RT5M,2017-10-02 00:05:00+00:00
CAISO,1hr,23937.0,RT5M,2017-10-02 05:05:00+00:00
CAISO,1hr,18879.0,RT5M,2017-10-01 11:05:00+00:00
CAISO,1hr,20537.0,RT5M,2017-10-01 18:05:00+00:00
CAISO,1hr,20823.0,RT5M,2017-10-01 19:05:00+00:00
CAISO,1hr,18999.0,RT5M,2017-10-01 12:05:00+00:00
CAISO,1hr,19467.0,RT5M,2017-10-01 13:05:00+00:00
CAISO,1hr,20233.0,RT5M,2017-10-01 15:05:00+00:00
CAISO,1hr,20861.0,RT5M,2017-10-01 19:10:00+00:00
CAISO,1hr,26062.0,RT5M,2017-10-02 01:10:00+00:00
CAISO,1hr,22180.0,RT5M,2017-10-01 21:10:00+00:00
CAISO,1hr,23263.0,RT5M,2017-10-01 22:10:00+00:00
CAISO,1hr,20316.0,RT5M,2017-10-01 15:10:00+00:00
CAISO,1hr,25684.0,RT5M,2017-10-02 04:10:00+00:00
CAISO,1hr,23828.0,RT5M,2017-10-02 05:10:00+00:00
CAISO,1hr,21506.0,RT5M,2017-10-01 07:10:00+00:00
CAISO,1hr,20297.0,RT5M,2017-10-01 08:10:00+00:00
CAISO,1hr,19552.0,RT5M,2017-10-01 09:10:00+00:00
CAISO,1hr,21343.0,RT5M,2017-10-01 20:10:00+00:00
CAISO,1hr,19507.0,RT5M,2017-10-01 13:10:00+00:00
CAISO,1hr,27669.0,RT5M,2017-10-02 02:10:00+00:00
CAISO,1hr,27364.0,RT5M,2017-10-02 03:10:00+00:00
CAISO,1hr,18875.0,RT5M,2017-10-01 11:10:00+00:00
CAISO,1hr,20972.0,RT5M,2017-10-01 17:10:00+00:00
CAISO,1hr,19502.0,RT5M,2017-10-01 09:15:00+00:00
CAISO,1hr,22264.0,RT5M,2017-10-01 21:15:00+00:00
CAISO,1hr,27769.0,RT5M,2017-10-02 02:15:00+00:00
CAISO,1hr,20872.0,RT5M,2017-10-01 17:15:00+00:00
CAISO,1hr,20587.0,RT5M,2017-10-01 18:15:00+00:00
CAISO,1hr,25529.0,RT5M,2017-10-02 00:15:00+00:00
CAISO,1hr,20224.0,RT5M,2017-10-01 08:15:00+00:00
CAISO,1hr,20393.0,RT5M,2017-10-01 15:15:00+00:00
CAISO,1hr,23710.0,RT5M,2017-10-02 05:15:00+00:00
CAISO,1hr,27267.0,RT5M,2017-10-02 03:15:00+00:00
