INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,27.88004,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,5.09996,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,6.56018,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,35.07635,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,30.112509999999997,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,31.191309999999998,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,28.270290000000003,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,31.76271,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,18.581120000000002,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,28.281370000000003,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,27.9344,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,6.34393,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ADCC_2_N001,ADCC_2_N001,ADCC_2_N001,DAM,LMP,LMP_PRC,ADCC_2_N001,ALL,1,27.88255,1
