INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,57.248940000000005,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,30.061290000000003,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,28.329320000000003,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,27.93573,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,34.92158,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,6.35596,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,5.1081,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,28.3461,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,43.19063,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,26.652859999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,27.884190000000004,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,27.926940000000002,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,12.36922,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,28.09917,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,31.8393,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,24.84447,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,27.52,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,35.25164,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,48.69048,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,21.02538,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,31.24405,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,22.60602,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,6.57423,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,18.6179,1
2017-10-03T02:00:00-00:00,2017-10-02,19,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,52.03949,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,27.607609999999998,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,24.21752,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,26.3041,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,29.848509999999997,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,39.071529999999996,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,AEC300_1_N001,AEC300_1_N001,AEC300_1_N001,DAM,LMP,LMP_PRC,AEC300_1_N001,ALL,1,27.0247,5
