INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,30.3878,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,11.95069,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,25.914179999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,34.55576,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,35.52486,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,26.877259999999996,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,6.53655,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,24.23803,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,27.00552,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AGUAMNSA_7_B1,AGUAMNSA_7_B1,AGUAMNSA_7_B1,DAM,LMP,LMP_PRC,AGUAMNSA_7_B1,ALL,1,57.45856,1
