INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T10:00:00-00:00,2017-10-01,3,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.16068,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,49.2739,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,30.673000000000002,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,35.79088,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.96005,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.429740000000002,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,12.20693,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,31.91589,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.46436,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,44.01167,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,6.41921,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,58.04083000000001,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,20.869670000000003,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.590670000000003,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.996190000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,6.22233,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,24.731070000000003,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,31.62565,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,4.973409999999999,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,22.32451,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,26.805870000000002,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,18.4009,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,36.08587,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.301070000000003,1
2017-10-02T19:00:00-00:00,2017-10-02,12,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,23.68487,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,26.58527,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,22.809420000000003,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,39.92005,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,30.108209999999996,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.3191,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,30.954559999999997,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.276229999999998,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,33.63514,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,52.67224,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.776429999999998,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,26.34765,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,20.27897,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,26.04608,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.40653,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,45.01773,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,39.19885,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.50925,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,26.939770000000003,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,38.18165,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,38.30733,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,61.40874,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,29.522540000000003,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,24.5851,5
2017-10-04T07:00:00-00:00,2017-10-03,24,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,30.945990000000002,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,35.04231,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,18.94503,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.963070000000002,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.621109999999998,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.003059999999998,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,23.171879999999998,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.25586,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,32.63551,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,23.0263,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,19.0358,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,22.4065,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,63.7194,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,38.61217,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,30.230999999999998,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,23.95224,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.843120000000003,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,41.55273,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,38.60375,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,46.98646,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,43.942809999999994,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.41628,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,52.01204,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.177459999999996,9
2017-10-04T23:00:00-00:00,2017-10-04,16,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,28.862370000000002,13
2017-10-04T21:00:00-00:00,2017-10-04,14,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.065959999999997,13
2017-10-04T14:00:00-00:00,2017-10-04,7,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,42.48308,13
2017-10-05T01:00:00-00:00,2017-10-04,18,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,42.50078,13
2017-10-04T10:00:00-00:00,2017-10-04,3,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.30345,13
2017-10-04T12:00:00-00:00,2017-10-04,5,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.871709999999997,13
2017-10-04T17:00:00-00:00,2017-10-04,10,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.13745,13
2017-10-05T02:00:00-00:00,2017-10-04,19,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,57.48417,13
2017-10-04T09:00:00-00:00,2017-10-04,2,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,27.88745,13
2017-10-05T04:00:00-00:00,2017-10-04,21,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,48.98267,13
2017-10-05T05:00:00-00:00,2017-10-04,22,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,41.23812,13
2017-10-04T15:00:00-00:00,2017-10-04,8,0,AIRPROD_1_N001,AIRPROD_1_N001,AIRPROD_1_N001,DAM,LMP,LMP_PRC,AIRPROD_1_N001,ALL,1,46.91767,13
