INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,27.44032,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,6.23604,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,21.77488,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,30.18614,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,47.98346,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,33.84523,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,25.42349,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,18.10298,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,23.9989,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,20.44821,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,29.59422,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,26.60459,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,31.325509999999998,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALAMOSC_7_N001,ALAMOSC_7_N001,ALAMOSC_7_N001,DAM,LMP,LMP_PRC,ALAMOSC_7_N001,ALL,1,6.45306,1
