INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,58.605630000000005,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,31.97015,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,30.04321,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,12.16178,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,22.340139999999998,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,20.58316,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,26.38904,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,35.283879999999996,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,27.9945,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,30.822129999999998,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,27.761470000000003,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,36.17553,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,27.97236,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,44.077529999999996,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,27.37795,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,27.23009,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,27.977420000000002,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,6.633560000000001,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,5.06133,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,6.30973,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,18.35125,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,24.70889,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALAMT6G_7_B1,ALAMT6G_7_B1,ALAMT6G_7_B1,DAM,LMP,LMP_PRC,ALAMT6G_7_B1,ALL,1,49.76337,1
