INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,12.67793,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,28.5313,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,36.17029,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,32.688179999999996,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,28.83861,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,31.842809999999997,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,6.724589999999999,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,6.49861,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,23.16905,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALHAMBRA_1_N001,ALHAMBRA_1_N001,ALHAMBRA_1_N001,DAM,LMP,LMP_PRC,ALHAMBRA_1_N001,ALL,1,28.694770000000002,1
