INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,42.25542,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,24.736,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,27.86538,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,27.81725,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,22.77806,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,27.92173,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,27.334020000000002,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,29.94075,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,21.00254,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,31.03309,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,6.59512,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,28.051059999999996,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,5.1353599999999995,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,6.38019,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,47.9093,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,56.36971,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,34.662079999999996,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,26.71353,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,34.74219,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,30.93937,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,28.151909999999997,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,12.41558,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,18.7264,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,27.800040000000003,1
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,26.31198,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,58.74823000000001,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,28.408440000000002,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,27.0215,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,40.6696,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,38.68955,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,50.34577,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,29.05975,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,26.98413,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,42.76995,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,37.07145,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,21.61637,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,26.7215,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,29.51848,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,37.27405,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,25.007260000000002,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,24.0597,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,26.76485,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,32.92811,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,27.054679999999998,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,27.23449,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,24.03996,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,30.16269,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,ALLEGHNY_6_N001,ALLEGHNY_6_N001,ALLEGHNY_6_N001,DAM,LMP,LMP_PRC,ALLEGHNY_6_N001,ALL,1,26.30017,5
