INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,23.24278,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,32.47756,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,28.66416,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,28.45938,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,19.123620000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,28.78795,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,12.72552,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,27.93846,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,21.61917,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,27.36515,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,36.04718,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,50.22813,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,44.837109999999996,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,59.38006,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,28.787470000000003,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,30.908040000000003,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,25.485429999999997,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,28.5151,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALMDACT1_7_B1,ALMDACT1_7_B1,ALMDACT1_7_B1,DAM,LMP,LMP_PRC,ALMDACT1_7_B1,ALL,1,28.69308,1
