INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,16.0378,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,4.37435,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,35.78369,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,31.836109999999998,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,49.2294,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,19.40212,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,21.44247,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,27.65107,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,27.975170000000002,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,23.17055,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,27.85176,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,27.23282,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,47.0,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,5.47136,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,60.0,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,27.57106,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,30.00705,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,30.85626,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,5.67058,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,10.66825,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,27.971790000000002,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,27.175720000000002,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,18.83087,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,32.86385,1
2017-10-02T18:00:00-00:00,2017-10-02,11,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,17.987679999999997,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,26.14643,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,ALPAUGH_1_N001,ALPAUGH_1_N001,ALPAUGH_1_N001,DAM,LMP,LMP_PRC,ALPAUGH_1_N001,ALL,1,26.697909999999997,5
