INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,49.00691,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,30.645290000000003,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,43.432109999999994,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,27.800109999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,27.82562,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,20.39007,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,21.81286,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,5.62169,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,6.7461,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,25.58706,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,27.019309999999997,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,34.74219,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,35.53564,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,29.87446,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,27.789659999999998,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,17.89702,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,31.360609999999998,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,27.317090000000004,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,27.060509999999997,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,9.32928,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,11.85063,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,24.17886,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,27.5131,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,57.52843000000001,1
2017-10-02T09:00:00-00:00,2017-10-02,2,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,26.18365,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,29.81464,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,50.22152,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,19.39742,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,37.38759,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,25.72636,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,32.5829,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,18.55302,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,25.27453,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,-4.04415,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,5.26342,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,29.1498,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,15.56525,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,26.63523,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,1.72253,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,11.09416,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ALPINE_6_N001,ALPINE_6_N001,ALPINE_6_N001,DAM,LMP,LMP_PRC,ALPINE_6_N001,ALL,1,25.68132,5
