INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,28.34337,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,28.309509999999996,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,24.63247,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,45.956720000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,6.27732,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,61.1851,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,28.032020000000003,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,35.63211,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,27.74762,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,4.93229,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,18.30711,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,37.41937,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,27.588379999999997,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,20.49803,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,6.20554,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,51.790490000000005,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,12.13006,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,22.32674,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALTA1G_7_B1,ALTA1G_7_B1,ALTA1G_7_B1,DAM,LMP,LMP_PRC,ALTA1G_7_B1,ALL,1,32.82541,1
