INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,26.99803,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,26.801959999999998,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,26.28272,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,26.50161,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,20.9214,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,47.108340000000005,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,30.38728,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,17.29383,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,6.2102,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALTA6B2_7_N003,ALTA6B2_7_N003,ALTA6B2_7_N003,DAM,LMP,LMP_PRC,ALTA6B2_7_N003,ALL,1,19.77968,1
