INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,29.0036,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,24.639979999999998,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,34.205529999999996,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,29.75181,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,20.899060000000002,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,4.8061,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,11.52117,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,30.329829999999998,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,26.62305,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,26.443170000000002,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,26.77965,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,6.20819,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,5.96836,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,47.044059999999995,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,26.22203,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,26.8565,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,26.955809999999996,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,19.76515,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,23.03254,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,33.1347,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,26.19624,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,55.35074,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ALTAD2_7_N006,ALTAD2_7_N006,ALTAD2_7_N006,DAM,LMP,LMP_PRC,ALTAD2_7_N006,ALL,1,41.64513,1
