INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,23.76224,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,30.1241,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,35.07909,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,27.30903,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,27.10878,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,27.338559999999998,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,42.637409999999996,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,29.374240000000004,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,19.95823,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,4.67133,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,27.19962,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,26.59282,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,26.910740000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,5.47788,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,5.90193,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,34.11959,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ALTWIND_1_N001,ALTWIND_1_N001,ALTWIND_1_N001,DAM,LMP,LMP_PRC,ALTWIND_1_N001,ALL,1,56.67249,1
