INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,22.42505,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,30.995859999999997,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,27.61106,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,24.59795,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,27.761470000000003,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,27.859809999999996,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,26.37585,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,28.0876,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,27.709,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,31.44678,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,6.31003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,20.888360000000002,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,6.52588,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,27.28752,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,34.80199,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,28.112509999999997,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,12.27892,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,29.913629999999998,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,35.16896,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,43.13794,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,57.19654,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,48.5916,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,18.47446,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,5.0738900000000005,1
2017-10-02T20:00:00-00:00,2017-10-02,13,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,25.25037,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,59.563919999999996,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,AMERIGAS_1_N001,AMERIGAS_1_N001,AMERIGAS_1_N001,DAM,LMP,LMP_PRC,AMERIGAS_1_N001,ALL,1,32.90488,5
