INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,59.630430000000004,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,28.13265,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,28.83115,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,36.596140000000005,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,28.995459999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,36.2336,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,28.63595,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,28.670759999999998,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,5.258859999999999,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,12.73772,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,27.4522,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,32.66584,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,30.88695,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,6.76156,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,50.638490000000004,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,31.97001,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,AMESBS_1_N101,AMESBS_1_N101,AMESBS_1_N101,DAM,LMP,LMP_PRC,AMESBS_1_N101,ALL,1,21.5818,1
