INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,27.645809999999997,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,21.31397,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,31.55429,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,35.82323,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,58.064119999999996,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,30.332490000000004,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,28.50933,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,28.19603,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,12.50588,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,28.458609999999997,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,49.442,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,18.8772,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,6.40595,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,28.17707,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,35.66729,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,22.86072,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,28.341309999999996,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,25.16249,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,28.12557,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,43.55944,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,27.101329999999997,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,6.65786,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,32.04355,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,5.14984,1
2017-10-02T11:00:00-00:00,2017-10-02,4,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,26.569509999999998,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,38.29976,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,30.516709999999996,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,53.21148,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,30.49073,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,27.083479999999998,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,26.65287,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,27.27893,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,40.81893,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,28.82038,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,29.41805,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,AMFORST_6_N001,AMFORST_6_N001,AMFORST_6_N001,DAM,LMP,LMP_PRC,AMFORST_6_N001,ALL,1,40.00459,5
