INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,47.81536,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,27.50207,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,27.8958,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,5.03894,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,18.319979999999997,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,34.70881,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,31.11808,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,26.10677,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,30.660809999999998,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,20.724339999999998,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,22.2329,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,34.29195,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,42.44422,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,12.18009,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,24.36869,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,27.08786,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,56.206680000000006,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,29.546,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,6.46716,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,6.26403,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ANDERSON_6_N001,ANDERSON_6_N001,ANDERSON_6_N001,DAM,LMP,LMP_PRC,ANDERSON_6_N001,ALL,1,27.446920000000002,1
