INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,33.72854,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,6.6758,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,62.65825,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,29.96772,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,31.42935,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,19.39763,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,27.46854,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,29.379440000000002,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,29.28497,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,23.03304,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,12.95003,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,23.573439999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,40.09263,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,29.260759999999998,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,47.26952,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,28.3706,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,29.501959999999997,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,5.5524,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,25.54992,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,54.586909999999996,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,33.440540000000006,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,7.2283800000000005,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,38.08443,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,29.03872,1
2017-10-02T21:00:00-00:00,2017-10-02,14,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,28.98012,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,32.42821,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,26.562209999999997,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,25.73465,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,30.38562,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,25.1414,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,44.99929,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,25.71285,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,34.327529999999996,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,56.224430000000005,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,40.33984,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ANNAPOLS_6_N001,ANNAPOLS_6_N001,ANNAPOLS_6_N001,DAM,LMP,LMP_PRC,ANNAPOLS_6_N001,ALL,1,30.410459999999997,5
