INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,29.799120000000002,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,17.83265,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,21.651999999999997,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,57.30716999999999,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.5314,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.825440000000004,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,48.62126,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,31.50103,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,11.83965,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,20.28004,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,23.8929,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,25.62663,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.49928,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,6.3173699999999995,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.06598,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,35.37028,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.641840000000002,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.81777,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,30.701140000000002,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,34.4432,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,43.2038,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.342090000000002,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,4.8964,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,6.09938,1
2017-10-02T22:00:00-00:00,2017-10-02,15,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,25.623070000000002,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,26.50245,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,22.701929999999997,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,26.515459999999997,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.86348,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,20.2595,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,37.02064,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,29.62254,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,26.084329999999998,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,39.92908,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,23.681379999999997,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,26.07696,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,59.90732,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,33.00114,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,51.024609999999996,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,37.538990000000005,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,26.770459999999996,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,26.025560000000002,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,22.75385,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,25.60784,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.614320000000003,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,38.3096,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,43.900490000000005,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,29.917540000000002,5
2017-10-04T06:00:00-00:00,2017-10-03,23,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,34.28513,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,28.14351,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,37.48238,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,44.10869,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,41.517070000000004,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,46.20559,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,22.145889999999998,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,30.38417,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,21.65995,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,28.05299,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,28.506520000000002,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.154659999999996,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,25.73749,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,17.9066,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,29.17359,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.95813,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,37.80335,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,62.939530000000005,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,50.96095,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,17.42509,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,21.549889999999998,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.64325,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,20.91519,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,32.736999999999995,9
2017-10-04T08:00:00-00:00,2017-10-04,1,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,28.173920000000003,13
2017-10-04T09:00:00-00:00,2017-10-04,2,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.74225,13
2017-10-04T10:00:00-00:00,2017-10-04,3,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.14763,13
2017-10-04T13:00:00-00:00,2017-10-04,6,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,31.308870000000002,13
2017-10-04T11:00:00-00:00,2017-10-04,4,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.072409999999998,13
2017-10-04T14:00:00-00:00,2017-10-04,7,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,41.90234,13
2017-10-04T23:00:00-00:00,2017-10-04,16,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.112209999999997,13
2017-10-05T06:00:00-00:00,2017-10-04,23,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,34.97278,13
2017-10-04T12:00:00-00:00,2017-10-04,5,0,ANTELOPE_6_N001,ANTELOPE_6_N001,ANTELOPE_6_N001,DAM,LMP,LMP_PRC,ANTELOPE_6_N001,ALL,1,27.74307,13
