INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.55282,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,29.61832,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,6.58942,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,6.34783,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,24.46237,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,5.11986,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,28.354540000000004,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.92045,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,30.50879,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,22.34238,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.765,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,28.001759999999997,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,28.306829999999998,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.148979999999998,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,12.263060000000001,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,33.62715,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,41.85588,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,21.129189999999998,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,18.42481,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,47.07867,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,34.32056,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,30.9649,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.907629999999997,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,55.5196,1
2017-10-02T21:00:00-00:00,2017-10-02,14,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.30912,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,37.886990000000004,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,29.55435,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.58235,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,57.86655,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,36.45263,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,28.187209999999997,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.79604,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,28.959509999999998,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.435370000000002,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,32.2576,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,39.253,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.201620000000002,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,49.6221,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,23.40145,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,20.94115,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.16856,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,28.003709999999998,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.62562,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,24.21443,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.816440000000004,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,36.46785,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,23.30975,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,42.67241,5
2017-10-03T18:00:00-00:00,2017-10-03,11,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,24.21846,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.93358,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,29.214000000000002,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,25.96624,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.379790000000003,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.25273,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,61.08526,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,44.56877,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.91882,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.973770000000002,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,33.309129999999996,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,31.862920000000003,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,40.495870000000004,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,28.169829999999997,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,29.75174,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.99945,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,42.30952,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,27.540540000000004,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,24.40485,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,26.15331,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,24.783260000000002,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,37.465309999999995,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,36.79905,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,ANTLER_6_N001,ANTLER_6_N001,ANTLER_6_N001,DAM,LMP,LMP_PRC,ANTLER_6_N001,ALL,1,49.86864,9
