INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T10:00:00-00:00,2017-10-01,3,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,28.92519,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,28.561459999999997,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,28.07521,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,12.67183,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,23.18245,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,27.35196,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,32.61159,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,31.901759999999996,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,21.52574,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,6.51163,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,36.560190000000006,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,5.23342,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,30.835720000000002,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,6.73078,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,25.47804,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,44.91175,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,28.57667,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,28.9146,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,28.61498,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,19.07765,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,36.16677,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,50.56433,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,59.560559999999995,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,28.756,1
2017-10-02T17:00:00-00:00,2017-10-02,10,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,24.96086,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,37.35352,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,25.12946,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,29.892570000000003,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,27.299490000000002,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,34.13968,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,38.7918,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,28.28295,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,38.32989,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,26.86344,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,30.88755,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,27.34856,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,41.83597,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,30.995,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,30.579929999999997,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,APPMAT_1_N001,APPMAT_1_N001,APPMAT_1_N001,DAM,LMP,LMP_PRC,APPMAT_1_N001,ALL,1,48.79635,5
