INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T23:00:00-00:00,2017-10-01,16,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,24.62753,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,47.74119,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,27.557879999999997,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,27.91333,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,26.391679999999997,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,22.41834,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,6.30109,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,42.34763,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,27.620459999999998,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,APTORVC_6_N002,APTORVC_6_N002,APTORVC_6_N002,DAM,LMP,LMP_PRC,APTORVC_6_N002,ALL,1,27.26838,1
