INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,43.14672,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,5.078469999999999,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,18.46526,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,22.41611,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,24.67128,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,32.645540000000004,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,28.04907,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,46.35485,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,27.951140000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,6.30841,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,27.899359999999998,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,28.253429999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,28.21945,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,12.282580000000001,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,56.17174,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,31.46593,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,21.00047,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,26.564040000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ARBUCKLE_6_N001,ARBUCKLE_6_N001,ARBUCKLE_6_N001,DAM,LMP,LMP_PRC,ARBUCKLE_6_N001,ALL,1,27.15764,1
