INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,19.66757,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,46.64852,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,28.84088,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,26.640190000000004,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,11.46138,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,32.86385,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,26.35715,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,29.593590000000003,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,24.41837,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ARBWIND_6_N001,ARBWIND_6_N001,ARBWIND_6_N001,DAM,LMP,LMP_PRC,ARBWIND_6_N001,ALL,1,54.914030000000004,1
