INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,45.38658,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,36.93003,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,51.276,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,36.57243,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,46.184470000000005,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,23.176779999999997,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,40.172309999999996,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,34.67366,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,22.12789,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,27.3581,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,39.03717,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,12.46927,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,48.678909999999995,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,5.16731,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,18.40458,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,38.16104,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,47.75926,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,18.59419,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,30.80965,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,7.06595,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,56.80282,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,6.592460000000001,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,46.37488,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,50.02877,1
2017-10-02T13:00:00-00:00,2017-10-02,6,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,31.35163,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,39.11018,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,30.801909999999996,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,27.2951,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,28.14367,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,38.21591,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,30.401670000000003,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,48.627309999999994,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,29.32184,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,24.3026,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,40.589240000000004,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,29.55795,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,ARCATA_6_N001,ARCATA_6_N001,ARCATA_6_N001,DAM,LMP,LMP_PRC,ARCATA_6_N001,ALL,1,48.22772,5
