INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,28.06168,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,35.41755,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,27.803309999999996,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,26.5104,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,27.75127,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,27.446920000000002,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,49.941359999999996,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,32.049929999999996,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,28.02526,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ARCO1G_7_B1,ARCO1G_7_B1,ARCO1G_7_B1,DAM,LMP,LMP_PRC,ARCO1G_7_B1,ALL,1,30.09443,1
