INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,17.34348,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,27.39886,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,27.33933,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,27.857120000000002,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,34.04221,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,49.204679999999996,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,58.04083000000001,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,43.691159999999996,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,27.790190000000003,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,5.93584,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,11.53582,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,21.0644,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,27.8564,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,31.753140000000002,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,6.1542900000000005,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,4.76164,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,35.74415,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,27.56758,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,30.732159999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,29.904590000000002,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,19.84404,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,25.01459,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,27.10701,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,23.28646,1
2017-10-02T17:00:00-00:00,2017-10-02,10,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,22.15107,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,26.598409999999998,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,29.71769,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,26.569390000000002,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,26.07023,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,19.62881,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,24.77243,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,25.22458,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,27.313990000000004,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,22.93686,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,51.54231,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,39.98,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,24.81016,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,36.671490000000006,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,21.99225,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,44.35714,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,37.85314,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,33.226859999999995,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,26.900290000000002,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,60.62325,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,30.099140000000002,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,38.62364,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,26.76362,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,26.14487,5
2017-10-04T03:00:00-00:00,2017-10-03,20,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,63.27318,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,28.081159999999997,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,32.68462,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,17.33503,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,ARVINED_1_N001,ARVINED_1_N001,ARVINED_1_N001,DAM,LMP,LMP_PRC,ARVINED_1_N001,ALL,1,26.21467,9
