INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,20.925729999999998,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,58.85601,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,28.652240000000003,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,31.60393,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,5.0247,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,24.95787,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,44.49025,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,36.29057,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,32.38501,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,28.36395,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,6.277019999999999,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,18.55721,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,28.399590000000003,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,28.47274,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,28.246679999999998,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,28.11178,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,27.63761,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,6.47925,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,49.96608,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,12.28502,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,22.547929999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ASHLAN_2_N001,ASHLAN_2_N001,ASHLAN_2_N001,DAM,LMP,LMP_PRC,ASHLAN_2_N001,ALL,1,30.5374,1
