INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,28.034190000000002,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,27.29761,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,20.6496,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,48.77453,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,43.2521,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,24.39827,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,25.914179999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,34.61204,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,27.01655,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,28.02245,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,12.03122,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ASH_6_N005,ASH_6_N005,ASH_6_N005,DAM,LMP,LMP_PRC,ASH_6_N005,ALL,1,35.55721,1
