INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,6.41705,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,44.44635,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,25.99597,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,35.020070000000004,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,28.056079999999998,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,4.9487,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,21.877660000000002,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,28.216890000000003,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,24.10984,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ATASCDRO_6_N001,ATASCDRO_6_N001,ATASCDRO_6_N001,DAM,LMP,LMP_PRC,ATASCDRO_6_N001,ALL,1,36.229459999999996,1
