INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,6.35703,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,12.4168,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,28.672559999999997,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,28.318690000000004,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,58.82108,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,49.8672,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,5.09929,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,44.3761,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,6.573410000000001,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,28.391840000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,27.82085,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,32.61159,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,21.12296,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,28.6132,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,31.777659999999997,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,22.85179,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,28.68583,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,36.37685,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,28.51665,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,25.24877,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,36.32506,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,27.30183,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,18.7595,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,30.453020000000002,1
2017-10-03T06:00:00-00:00,2017-10-02,23,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,34.28242,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,39.49113,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,61.95704,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,38.678259999999995,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,26.732429999999997,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,27.460140000000003,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,40.560629999999996,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,29.1313,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,30.868340000000003,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,31.29212,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,26.28523,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,31.64273,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,30.00368,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,38.840759999999996,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,25.10237,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,27.3432,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,27.286109999999997,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,26.83975,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,30.7105,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,53.22781,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,27.6091,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,24.26551,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,45.46552,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,29.28042,5
2017-10-03T08:00:00-00:00,2017-10-03,1,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,29.43468,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,28.741609999999998,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,ATWATER_1_N001,ATWATER_1_N001,ATWATER_1_N001,DAM,LMP,LMP_PRC,ATWATER_1_N001,ALL,1,24.13735,9
