INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,30.729059999999997,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,23.452820000000003,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,49.02174,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,27.536959999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,27.133879999999998,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,5.7441699999999996,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,19.65012,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,21.72351,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,27.42209,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,29.8835,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,5.54033,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,35.63989,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,32.99752,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,27.857120000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,27.11795,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,4.432869999999999,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,16.22906,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,43.594559999999994,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,27.7454,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,18.96582,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,10.786610000000001,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,31.70208,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,57.84868,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,27.8564,1
2017-10-02T18:00:00-00:00,2017-10-02,11,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,18.25086,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,21.31521,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,25.16214,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,29.786070000000002,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,26.5663,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,23.02259,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,35.461240000000004,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,ATWELL_1_N001,ATWELL_1_N001,ATWELL_1_N001,DAM,LMP,LMP_PRC,ATWELL_1_N001,ALL,1,26.865129999999997,5
