INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T19:00:00-00:00,2017-10-01,12,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,6.2226,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,28.6875,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,50.1688,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,27.815379999999998,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,31.86143,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,6.41234,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,4.9789,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,44.7493,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,36.32652,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,21.06275,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,12.22767,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,22.46526,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,28.30234,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,26.93777,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,28.25248,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,30.862840000000002,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,32.375440000000005,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,28.4558,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,59.19373,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,18.51124,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,36.57832,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,28.613059999999997,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,28.70915,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,24.88145,1
2017-10-02T22:00:00-00:00,2017-10-02,15,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,27.69882,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,27.35466,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,26.6063,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,27.309279999999998,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,28.89663,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,26.79764,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,39.53365,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,63.884730000000005,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,25.1838,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,23.9373,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,AUBERRY_6_N001,AUBERRY_6_N001,AUBERRY_6_N001,DAM,LMP,LMP_PRC,AUBERRY_6_N001,ALL,1,38.526720000000005,5
