INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T22:00:00-00:00,2017-10-01,15,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,23.017120000000002,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,44.38049,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,28.266270000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,28.347170000000002,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,36.1324,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,25.283279999999998,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,12.57421,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,28.37789,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,6.4589300000000005,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,27.322940000000003,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,31.610129999999998,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,28.61627,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,6.671880000000001,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,28.635690000000004,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,30.54945,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,5.1906,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,AUBURN_6_N001,AUBURN_6_N001,AUBURN_6_N001,DAM,LMP,LMP_PRC,AUBURN_6_N001,ALL,1,50.14407,1
