INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,28.109690000000004,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,31.740370000000002,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,5.1422,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,27.638740000000002,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,27.303929999999998,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,57.19654,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,26.87446,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,29.85939,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,35.0658,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AVENA_1_N001,AVENA_1_N001,AVENA_1_N001,DAM,LMP,LMP_PRC,AVENA_1_N001,ALL,1,12.43023,1
