INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,8.76242,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,44.701,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,27.985059999999997,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,6.81355,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,22.4876,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,24.86913,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,35.818540000000006,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,59.63626,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,32.28289,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,28.5037,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,28.380679999999998,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,12.25818,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,26.549970000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,28.204420000000002,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,AVOCADO_6_N002,AVOCADO_6_N002,AVOCADO_6_N002,DAM,LMP,LMP_PRC,AVOCADO_6_N002,ALL,1,18.47814,1
