INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T19:00:00-00:00,2017-10-01,12,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,6.02405,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,30.114790000000003,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,42.46617,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,26.92466,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,25.135939999999998,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,21.258770000000002,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,17.5329,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,6.2603800000000005,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,27.053,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,26.69378,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,56.43376,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,11.65174,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,29.33507,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,23.47628,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,19.94993,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,27.31605,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,27.154840000000004,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,34.88856,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,47.943909999999995,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,33.79247,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,4.84121,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,26.57641,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,30.942559999999997,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,27.278109999999998,1
2017-10-02T11:00:00-00:00,2017-10-02,4,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,25.64978,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,43.04483,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,36.05856,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,22.33061,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,23.28238,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,27.3884,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,25.45056,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,32.38042,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,25.13938,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,AVSOLAR_7_N008,AVSOLAR_7_N008,AVSOLAR_7_N008,DAM,LMP,LMP_PRC,AVSOLAR_7_N008,ALL,1,26.076610000000002,5
