INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,30.49328,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,23.92495,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,27.33936,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,43.20819,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,29.66051,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,57.4178,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,27.64532,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,11.829889999999999,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,48.76464,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,27.543879999999998,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,6.31955,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,17.82897,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,35.37747,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,31.434009999999997,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,27.640690000000003,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,27.34866,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,34.41155,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,4.8970199999999995,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,6.10037,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,21.66094,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,27.11863,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,26.89915,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,20.24059,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,25.62135,1
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,22.57537,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BADGERCK_7_N001,BADGERCK_7_N001,BADGERCK_7_N001,DAM,LMP,LMP_PRC,BADGERCK_7_N001,ALL,1,29.850959999999997,5
