INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,24.53139,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,18.399060000000002,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,27.923240000000003,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,30.112509999999997,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,31.11375,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,28.171609999999998,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,27.88255,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,43.405770000000004,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,35.0869,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BAFOOD1_6_N001,BAFOOD1_6_N001,BAFOOD1_6_N001,DAM,LMP,LMP_PRC,BAFOOD1_6_N001,ALL,1,28.17192,1
