INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,30.35677,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,17.07315,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,43.348690000000005,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,35.53924,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,26.98896,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,26.86632,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,5.8015099999999995,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.266990000000003,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,29.536959999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.094829999999998,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,4.65739,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,20.90353,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,23.0991,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,24.924889999999998,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,19.69248,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.57497,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,11.31374,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,33.9402,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,48.8833,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,57.627419999999994,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.63065,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.58448,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,5.8975,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,31.50103,1
2017-10-02T12:00:00-00:00,2017-10-02,5,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,26.73801,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,37.2854,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,32.6692,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,29.811609999999998,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,19.35921,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,26.41912,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,56.55998,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,21.6635,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,22.583779999999997,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,43.56798,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,25.99221,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,25.94935,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,38.10411,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,24.4638,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,35.94534,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,26.38999,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,37.94488,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,21.878020000000003,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,24.976,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,29.241970000000002,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,26.98488,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,26.43559,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,24.340410000000002,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,50.27071,5
2017-10-04T00:00:00-00:00,2017-10-03,17,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,25.95288,9
2017-10-04T07:00:00-00:00,2017-10-03,24,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,30.184620000000002,9
2017-10-03T18:00:00-00:00,2017-10-03,11,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,17.58902,9
2017-10-03T20:00:00-00:00,2017-10-03,13,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,20.18781,9
2017-10-04T03:00:00-00:00,2017-10-03,20,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,57.72779,9
2017-10-03T08:00:00-00:00,2017-10-03,1,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,28.119790000000002,9
2017-10-03T19:00:00-00:00,2017-10-03,12,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,17.49484,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.615540000000003,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.745859999999997,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,21.608439999999998,9
2017-10-03T14:00:00-00:00,2017-10-03,7,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,38.12076,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,20.78275,9
2017-10-04T02:00:00-00:00,2017-10-03,19,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,48.93869,9
2017-10-04T04:00:00-00:00,2017-10-03,21,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,42.87522,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,37.70752,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,34.142720000000004,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.815340000000003,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,32.21648,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,36.2026,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,27.3712,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,28.11107,9
2017-10-03T23:00:00-00:00,2017-10-03,16,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,24.89924,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,21.01172,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,37.98261,9
2017-10-05T02:00:00-00:00,2017-10-04,19,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,56.012269999999994,13
2017-10-04T19:00:00-00:00,2017-10-04,12,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,20.01786,13
2017-10-05T03:00:00-00:00,2017-10-04,20,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,65.79856,13
2017-10-05T05:00:00-00:00,2017-10-04,22,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,40.10942,13
2017-10-04T15:00:00-00:00,2017-10-04,8,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,41.95662,13
2017-10-04T22:00:00-00:00,2017-10-04,15,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,24.73157,13
2017-10-05T00:00:00-00:00,2017-10-04,17,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,28.31625,13
2017-10-04T13:00:00-00:00,2017-10-04,6,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,31.07505,13
2017-10-04T14:00:00-00:00,2017-10-04,7,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,41.1478,13
2017-10-04T17:00:00-00:00,2017-10-04,10,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,24.60347,13
2017-10-04T21:00:00-00:00,2017-10-04,14,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,24.39251,13
2017-10-04T10:00:00-00:00,2017-10-04,3,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,26.887940000000004,13
2017-10-05T01:00:00-00:00,2017-10-04,18,0,BAKER_1_N001,BAKER_1_N001,BAKER_1_N001,DAM,LMP,LMP_PRC,BAKER_1_N001,ALL,1,40.83529,13
