INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,5.146780000000001,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,21.222620000000003,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,28.23285,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,24.95787,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,35.22408,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,43.73946,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,27.95252,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,28.153159999999996,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,6.62356,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,12.48758,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,26.774209999999997,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BALFOUR_6_N001,BALFOUR_6_N001,BALFOUR_6_N001,DAM,LMP,LMP_PRC,BALFOUR_6_N001,ALL,1,49.135459999999995,1
