INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,26.68715,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,31.366999999999997,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,27.7594,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,27.73935,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,28.01452,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,27.75031,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,5.09566,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,18.58664,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,34.66129,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,47.68186,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,34.93529,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,27.806929999999998,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,30.99897,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,56.1368,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,20.93403,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,28.12095,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,29.90158,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,27.30667,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,42.286159999999995,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,6.334,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,22.59261,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,24.8568,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,6.54494,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,12.324069999999999,1
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,24.83576,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,23.87439,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,59.03012,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,26.55292,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,21.4345,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,32.66257,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,26.57742,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,27.04542,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,36.96747,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,28.776429999999998,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,26.8361,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,29.351979999999998,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,29.959909999999997,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,38.39877,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,40.3104,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,27.362579999999998,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,28.633000000000003,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,43.195570000000004,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,26.125410000000002,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,26.80562,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,37.48918,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,BANGOR_6_N001,BANGOR_6_N001,BANGOR_6_N001,DAM,LMP,LMP_PRC,BANGOR_6_N001,ALL,1,50.75545,5
