INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,24.3465,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,49.02174,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,30.446740000000002,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,26.04609,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,35.654270000000004,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,27.32266,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,27.39886,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,5.7622599999999995,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,4.81076,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,31.532940000000004,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,27.63788,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,26.93197,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,20.36724,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,43.39699,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,27.044140000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BANNING_1_N001,BANNING_1_N001,BANNING_1_N001,DAM,LMP,LMP_PRC,BANNING_1_N001,ALL,1,6.0529,1
