INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,35.3559,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,12.492460000000001,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,25.15016,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,22.86072,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,30.151690000000002,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,18.82387,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,5.15696,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,28.5064,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,57.52843000000001,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BANTA_6_N001,BANTA_6_N001,BANTA_6_N001,DAM,LMP,LMP_PRC,BANTA_6_N001,ALL,1,6.6331,1
