INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,58.84437,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,18.59215,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,28.1173,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,5.02165,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,22.58144,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,36.41299,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,49.96114,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,28.4643,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,25.01211,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,28.36305,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,27.61573,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,31.675279999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,30.651909999999997,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,6.28055,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,44.53416,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,28.21885,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,28.47552,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,20.97348,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,27.106609999999996,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,28.74741,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,6.48076,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,36.25462,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,12.30943,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,32.32757,1
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,27.89381,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,26.669359999999998,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,40.38175,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,38.65555,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,27.38982,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,30.395740000000004,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,21.090139999999998,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,28.879459999999998,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,27.2241,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,26.939770000000003,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,23.60889,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,26.916159999999998,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,53.20421999999999,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,39.4437,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,62.068130000000004,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,38.61977,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,29.69085,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BARTON_1_N007,BARTON_1_N007,BARTON_1_N007,DAM,LMP,LMP_PRC,BARTON_1_N007,ALL,1,45.43448,5
