INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,49.20962,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,43.84922,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,6.564019999999999,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,27.32855,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,35.647079999999995,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,35.21001,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,26.61856,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,21.008770000000002,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,28.15754,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,31.810579999999998,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,18.5756,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,27.873040000000003,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,24.78531,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BASALT_6_N002,BASALT_6_N002,BASALT_6_N002,DAM,LMP,LMP_PRC,BASALT_6_N002,ALL,1,31.082729999999998,1
