INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,18.26665,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,27.30667,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,5.57252,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,49.29367,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,27.259320000000002,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,30.10347,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,22.24407,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,28.070729999999998,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,12.09833,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,57.947669999999995,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,24.58316,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,27.776190000000003,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,27.553659999999997,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,27.94835,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,6.75477,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,28.06185,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,30.905890000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,20.66413,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,8.84078,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,26.11996,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,43.757020000000004,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,35.9203,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,31.74676,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,34.9849,1
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,26.14487,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,54.157430000000005,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,44.31281,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,30.2202,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,58.29509,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BATIQTOS_1_N008,BATIQTOS_1_N008,BATIQTOS_1_N008,DAM,LMP,LMP_PRC,BATIQTOS_1_N008,ALL,1,55.592169999999996,5
