INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,31.03159,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,51.12797,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,28.25573,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,28.807440000000003,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,6.579969999999999,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,36.56425,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,36.91608,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,32.87008,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,23.44833,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,29.10316,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,5.29042,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,12.814589999999999,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,27.673809999999996,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,45.40789,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BAYMDWS_1_N001,BAYMDWS_1_N001,BAYMDWS_1_N001,DAM,LMP,LMP_PRC,BAYMDWS_1_N001,ALL,1,21.70014,1
