INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,20.81777,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,59.56638,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,27.588379999999997,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,28.47274,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,28.47829,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,31.39607,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,26.178,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,50.37645,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,22.058629999999997,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,30.573559999999997,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BAYWOOD_6_N001,BAYWOOD_6_N001,BAYWOOD_6_N001,DAM,LMP,LMP_PRC,BAYWOOD_6_N001,ALL,1,6.20885,1
