INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,26.21001,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,18.59419,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,5.949269999999999,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,11.0636,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,16.80098,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,21.74323,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,30.475479999999997,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,39.98547,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,33.15222,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BCRK1-2_1_N004,BCRK1-2_1_N004,BCRK1-2_1_N004,DAM,LMP,LMP_PRC,BCRK1-2_1_N004,ALL,1,23.078210000000002,1
