INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,5.9619800000000005,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,5.77726,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,29.91497,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,25.733729999999998,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,11.09044,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,19.643420000000003,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,21.98975,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,23.33411,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,26.00204,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,40.1084,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,25.66303,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,25.40503,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,28.58173,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,45.67452,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,53.64468000000001,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,16.83592,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,28.513959999999997,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,25.71487,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,26.24659,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,25.700210000000002,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,4.6295,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,33.22052,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,18.641939999999998,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,30.83075,1
2017-10-02T17:00:00-00:00,2017-10-02,10,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,20.2903,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,23.65225,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,23.213829999999998,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,42.87684,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,23.7044,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,25.6919,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,24.49788,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,20.206889999999998,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,23.04654,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,20.95204,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BCRK4_7_B3,BCRK4_7_B3,BCRK4_7_B3,DAM,LMP,LMP_PRC,BCRK4_7_B3,ALL,1,21.61169,5
