INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,27.88522,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,27.12414,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,29.85939,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,25.79811,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,34.731640000000006,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,43.46285,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,27.42285,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,35.6363,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,27.1453,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BDLRKSP2_7_B1,BDLRKSP2_7_B1,BDLRKSP2_7_B1,DAM,LMP,LMP_PRC,BDLRKSP2_7_B1,ALL,1,18.11586,1
