INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,28.11164,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,26.1732,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,26.552940000000003,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,29.41075,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,45.03672,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,32.4101,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,17.57703,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,24.73759,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,26.20824,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,26.10465,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BELDEN_7_B1,BELDEN_7_B1,BELDEN_7_B1,DAM,LMP,LMP_PRC,BELDEN_7_B1,ALL,1,25.881339999999998,1
