INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,28.575090000000003,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,21.4593,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,12.58763,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,32.35948,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,28.28282,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,31.62875,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,5.1967099999999995,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,18.97466,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,23.01935,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,44.38049,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,36.139590000000005,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,28.41136,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,50.15396,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,28.64974,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,27.80718,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,25.25617,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,27.312379999999997,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,35.88537,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,28.347170000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,6.46743,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,28.63035,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,6.67505,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,59.01905,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,30.5826,1
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BELLPGE_1_N001,BELLPGE_1_N001,BELLPGE_1_N001,DAM,LMP,LMP_PRC,BELLPGE_1_N001,ALL,1,38.3414,5
