INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,58.902590000000004,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,6.580080000000001,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,27.292990000000003,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,31.10755,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,24.854329999999997,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,5.11218,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,37.12154,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,35.99938,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,32.04674,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,26.74519,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,28.08247,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,30.061290000000003,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,6.35117,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,12.38996,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BELLVUE_1_N005,BELLVUE_1_N005,BELLVUE_1_N005,DAM,LMP,LMP_PRC,BELLVUE_1_N005,ALL,1,28.025290000000002,1
