INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,32.89881,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,12.83412,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,5.297540000000001,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,6.591360000000001,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,45.40789,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.825779999999998,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.81581,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,29.13881,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,29.1116,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,27.69227,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,31.03762,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,21.710520000000002,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,23.484070000000003,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,36.56776,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.998140000000003,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.790440000000004,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,32.11582,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,6.81107,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,19.31671,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,51.10325,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,36.91968,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.26393,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,25.79851,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,60.2127,1
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,27.06085,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,27.01822,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,46.07291,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,34.405229999999996,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,27.045140000000004,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.92107,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,39.15137,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,27.562759999999997,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,27.500190000000003,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,34.18292,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,45.28362,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,33.5371,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,30.79995,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,40.30243,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,25.10281,5
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,24.05725,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,34.93606,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,55.74235,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,62.93468000000001,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,30.28179,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,27.806340000000002,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,31.312790000000003,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,42.364670000000004,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,31.81196,5
2017-10-03T20:00:00-00:00,2017-10-03,13,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,30.27116,9
2017-10-03T13:00:00-00:00,2017-10-03,6,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,33.75184,9
2017-10-03T11:00:00-00:00,2017-10-03,4,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.51768,9
2017-10-03T12:00:00-00:00,2017-10-03,5,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,29.136509999999998,9
2017-10-03T10:00:00-00:00,2017-10-03,3,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.980009999999996,9
2017-10-04T01:00:00-00:00,2017-10-03,18,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,45.6499,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,35.60345,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,28.932570000000002,9
2017-10-03T21:00:00-00:00,2017-10-03,14,0,BELMONT_1_N001,BELMONT_1_N001,BELMONT_1_N001,DAM,LMP,LMP_PRC,BELMONT_1_N001,ALL,1,31.36647,9
