INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,32.00414,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,28.7126,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,12.782869999999999,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,25.69004,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,27.6184,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,36.48686,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,50.98953,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,36.829809999999995,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,28.6856,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,28.162740000000003,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,19.232120000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,6.564780000000001,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,23.379070000000002,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,5.2782,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,28.713820000000002,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,29.02638,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BERESFRD_6_N002,BERESFRD_6_N002,BERESFRD_6_N002,DAM,LMP,LMP_PRC,BERESFRD_6_N002,ALL,1,28.90073,1
