INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,34.7844,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,30.148670000000003,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,43.54188,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,5.65571,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,22.17481,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,28.112890000000004,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,27.34222,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,9.164489999999999,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,6.81905,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BERNARDO_6_N009,BERNARDO_6_N009,BERNARDO_6_N009,DAM,LMP,LMP_PRC,BERNARDO_6_N009,ALL,1,18.21332,1
