INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,9.864410000000001,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,15.556320000000001,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,14.34315,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,15.80451,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,15.656410000000001,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,38.60568,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,5.85687,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,12.241719999999999,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,13.41281,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,4.5446599999999995,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,5.68372,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,9.10045,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,9.9084,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,17.13092,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,20.15513,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,10.46773,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,25.19698,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,22.59062,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,11.000210000000001,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,9.399989999999999,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,7.43645,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,42.255179999999996,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,25.58237,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BERVLLY_6_N001,BERVLLY_6_N001,BERVLLY_6_N001,DAM,LMP,LMP_PRC,BERVLLY_6_N001,ALL,1,31.07,1
