INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,32.165459999999996,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,29.159440000000004,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,36.95117,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,28.790440000000004,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,12.91709,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,29.1373,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,37.43016,1
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,27.892770000000002,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,6.644880000000001,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,6.809239999999999,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,28.8939,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,29.16692,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,21.73959,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,28.3159,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,46.02258,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,60.946369999999995,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,25.96368,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,23.60249,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,19.423379999999998,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BIGBASN_6_N001,BIGBASN_6_N001,BIGBASN_6_N001,DAM,LMP,LMP_PRC,BIGBASN_6_N001,ALL,1,5.33673,1
