INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-02T00:00:00-00:00,2017-10-01,17,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,24.684820000000002,1
2017-10-01T12:00:00-00:00,2017-10-01,5,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,26.53929,1
2017-10-01T13:00:00-00:00,2017-10-01,6,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,28.9514,1
2017-10-01T17:00:00-00:00,2017-10-01,10,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,6.2151,1
2017-10-01T22:00:00-00:00,2017-10-01,15,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,21.36378,1
2017-10-01T23:00:00-00:00,2017-10-01,16,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,23.451629999999998,1
2017-10-02T03:00:00-00:00,2017-10-01,20,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,53.01583,1
2017-10-02T05:00:00-00:00,2017-10-01,22,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,32.735209999999995,1
2017-10-01T10:00:00-00:00,2017-10-01,3,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,26.524829999999998,1
2017-10-01T21:00:00-00:00,2017-10-01,14,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,17.591739999999998,1
2017-10-01T11:00:00-00:00,2017-10-01,4,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,25.695729999999998,1
2017-10-01T14:00:00-00:00,2017-10-01,7,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,28.02727,1
2017-10-01T15:00:00-00:00,2017-10-01,8,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,26.01539,1
2017-10-01T16:00:00-00:00,2017-10-01,9,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,19.92086,1
2017-10-01T20:00:00-00:00,2017-10-01,13,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,11.70054,1
2017-10-02T01:00:00-00:00,2017-10-01,18,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,32.38196,1
2017-10-02T04:00:00-00:00,2017-10-01,21,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,40.03815,1
2017-10-02T06:00:00-00:00,2017-10-01,23,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,29.33097,1
2017-10-01T09:00:00-00:00,2017-10-01,2,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,26.155820000000002,1
2017-10-02T07:00:00-00:00,2017-10-01,24,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,25.62105,1
2017-10-01T08:00:00-00:00,2017-10-01,1,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,26.095270000000003,1
2017-10-01T18:00:00-00:00,2017-10-01,11,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,4.8356,1
2017-10-02T02:00:00-00:00,2017-10-01,19,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,45.00705,1
2017-10-01T19:00:00-00:00,2017-10-01,12,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,6.0138,1
2017-10-02T18:00:00-00:00,2017-10-02,11,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,20.20938,5
2017-10-03T01:00:00-00:00,2017-10-02,18,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,34.664590000000004,5
2017-10-03T04:00:00-00:00,2017-10-02,21,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,40.3803,5
2017-10-02T09:00:00-00:00,2017-10-02,2,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,24.848370000000003,5
2017-10-02T15:00:00-00:00,2017-10-02,8,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,37.92116,5
2017-10-02T16:00:00-00:00,2017-10-02,9,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,27.162309999999998,5
2017-10-02T23:00:00-00:00,2017-10-02,16,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,25.14919,5
2017-10-03T02:00:00-00:00,2017-10-02,19,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,47.27812,5
2017-10-02T20:00:00-00:00,2017-10-02,13,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,23.40739,5
2017-10-02T19:00:00-00:00,2017-10-02,12,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,22.52986,5
2017-10-03T07:00:00-00:00,2017-10-02,24,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,27.419359999999998,5
2017-10-02T11:00:00-00:00,2017-10-02,4,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,24.7905,5
2017-10-02T17:00:00-00:00,2017-10-02,10,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,22.59644,5
2017-10-03T03:00:00-00:00,2017-10-02,20,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,55.119569999999996,5
2017-10-03T06:00:00-00:00,2017-10-02,23,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,30.86679,5
2017-10-02T13:00:00-00:00,2017-10-02,6,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,28.280170000000002,5
2017-10-03T00:00:00-00:00,2017-10-02,17,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,26.42618,5
2017-10-03T05:00:00-00:00,2017-10-02,22,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,34.68136,5
2017-10-02T12:00:00-00:00,2017-10-02,5,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,25.15309,5
2017-10-02T08:00:00-00:00,2017-10-02,1,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,24.863789999999998,5
2017-10-02T10:00:00-00:00,2017-10-02,3,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,24.72879,5
2017-10-02T14:00:00-00:00,2017-10-02,7,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,36.29738,5
2017-10-02T22:00:00-00:00,2017-10-02,15,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,25.048679999999997,5
2017-10-02T21:00:00-00:00,2017-10-02,14,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,25.113529999999997,5
2017-10-03T20:00:00-00:00,2017-10-03,13,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,23.90747,9
2017-10-04T00:00:00-00:00,2017-10-03,17,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,26.1964,9
2017-10-04T06:00:00-00:00,2017-10-03,23,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,31.95106,9
2017-10-03T09:00:00-00:00,2017-10-03,2,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,26.2957,9
2017-10-03T15:00:00-00:00,2017-10-03,8,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,41.46756,9
2017-10-03T16:00:00-00:00,2017-10-03,9,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,28.17168,9
2017-10-03T22:00:00-00:00,2017-10-03,15,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,24.93219,9
2017-10-04T05:00:00-00:00,2017-10-03,22,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,35.31558,9
2017-10-03T17:00:00-00:00,2017-10-03,10,0,BIGMDWS_6_N001,BIGMDWS_6_N001,BIGMDWS_6_N001,DAM,LMP,LMP_PRC,BIGMDWS_6_N001,ALL,1,25.335739999999998,9
